,Stage_I,Stage_II,Stage_III,Stage_IV
Initial Phase (<65),7738953,11161640,11308849,6789206 
Continuing Phase (<65),1448438,1448438,1448438,1448438 
Terminal Phase (Death CRC) (<65),1962954,1962954,1962954,1962954 
Terminal Phase (Death Other) (<65),1220292,1220292,1220292,1220292 
Initial Phase (65+),7738953,11161640,11308849,6789206 
Continuing Phase (65+),1448438,1448438,1448438,1448438 
Terminal Phase (Death CRC) (65+),1962954,1962954,1962954,1962954 
Terminal Phase (Death Other) (65+),1220292,1220292,1220292,1220292 
