"PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","pCancerProg_S1S2_P","pCancerProg_S1S2_D","pCancerProg_S1S2_R","pCancerProg_S2S3_P","pCancerProg_S2S3_D","pCancerProg_S2S3_R","pCancerProg_S3S4_P","pCancerProg_S3S4_D","pCancerProg_S3S4_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","pSxDetS2_P","pSxDetS2_D","pSxDetS2_R","pSxDetS3_P","pSxDetS3_D","pSxDetS3_R","pSxDetS4_P","pSxDetS4_D","pSxDetS4_R","country"
0.224908548786001,0.250072304752171,0.337476723195261,0.235538548260374,0.291961350714286,0.463903097638083,0.503386556386424,0.695435169768188,0.785045031442781,0.201410752623793,0.221255525890478,0.286431415890205,0.209854796301309,0.253202601398377,0.371175513907225,0.395519916410947,0.501142686878012,0.543900837480153,0.0166221366342817,0.0220221874247648,0.0347362097234959,0.108219333776177,0.131496450397489,0.15477509216045,0.555329733192419,0.574822742448342,0.817564352213843,0.999078812755292,0.999892379575249,0.999998923467247,"Chile"
0.300227630165976,0.266445461728047,0.309258915974392,0.267416395731272,0.371737610072982,0.467352201583806,0.388611355617803,0.535431319869726,0.832611938331357,0.25935039270134,0.233902215763835,0.266009296496497,0.234645685164079,0.310464854133823,0.373340658871917,0.322002281178732,0.414583266186937,0.56508816140545,0.0304335002015229,0.0223223770016628,0.0293294214872859,0.131273927583086,0.162664709171726,0.154570472755207,0.476133767912028,0.521057925948523,0.823123304684748,0.998734869786477,0.999582247611311,0.999999130942174,"Chile"
0.255053095934428,0.237687119068809,0.395003298210539,0.24299985977006,0.242688491934727,0.399630282000591,0.498042554701322,0.573724540002266,0.677294956057326,0.225124645862187,0.211550656729904,0.326322182686073,0.215728376250089,0.215484141270803,0.329432078758838,0.392280926951419,0.436576965744059,0.492010731210718,0.0159997908795752,0.020867359359386,0.037227658582655,0.114269830850112,0.11391999328642,0.134285397760408,0.57954650327921,0.523551554470862,0.772599165288506,0.999367231018856,0.999618668473781,0.999994774047898,"Chile"
0.247738662683314,0.252565934241951,0.382887485190483,0.228719955087818,0.244900228908909,0.440296621053743,0.512776713799601,0.455108877807438,0.718601072906982,0.219436092897822,0.223195006897599,0.318110382349625,0.204448707595792,0.217217366576594,0.356154585349064,0.40116951273684,0.365621105595099,0.512566336613049,0.0190064064227694,0.0223203375617849,0.037249912865755,0.116631959174267,0.108940834304954,0.146152868288301,0.56460002411608,0.4651077417724,0.790778507315902,0.999784877804947,0.998957386839856,0.999997787669492,"Chile"
0.245902440799876,0.249243689970554,0.354172809720683,0.249961826843571,0.237457565093867,0.390302546069503,0.514498819533709,0.555178028637412,0.669979559961152,0.21800148764649,0.220609979290337,0.298246312982157,0.221169487077038,0.211369644273846,0.323147935414265,0.402199874701949,0.426029931009161,0.488280962763353,0.0162283647949103,0.0214670859214725,0.0376134228181865,0.118840828174447,0.0999964284877893,0.13507840618998,0.534256600904454,0.474168148357317,0.764619261980729,0.999339131880945,0.999095567293489,0.999995100087785,"Chile"
0.241797174903505,0.25839001353547,0.392672751723886,0.260469027595603,0.280973177563545,0.406433264768563,0.487536063071001,0.490435143452429,0.738062568332925,0.214784577204284,0.227706031738726,0.32475031427105,0.229309973870448,0.24495141254864,0.333978458765299,0.385862271868118,0.38764012818786,0.521960812834369,0.0174964137536088,0.0219662794183495,0.0365453191779859,0.124445681375163,0.126490274381518,0.143622571728984,0.513765658689718,0.454995635816972,0.793455187968985,0.999310229156776,0.998673649225819,0.999997043892776,"Chile"
0.230854255541054,0.237465854456231,0.382359977881766,0.219474507707396,0.259645307482531,0.446017953771319,0.477208133164477,0.553457964404404,0.788654141176278,0.206144842405239,0.211376181489541,0.317750585703239,0.197059373770478,0.228674879460872,0.359827721548222,0.379486633558191,0.4250418160557,0.545543982478152,0.0165298285746495,0.0206913307858939,0.0375758942590462,0.100553254460575,0.105595182547863,0.15326449010892,0.505832231235158,0.485972968462058,0.821838082379812,0.997708227641641,0.99932987296609,0.999999484447634,"Chile"
0.220669109664995,0.244602393013755,0.402539327589854,0.263541647219298,0.258976148833327,0.388275688024632,0.511358255373566,0.565552342322611,0.697073122167681,0.198017995514699,0.216984191087965,0.331379956805738,0.231674376852827,0.228158567857193,0.321774661116078,0.400319493870725,0.431953695923722,0.501959122587096,0.016605998251244,0.0196099031105105,0.0377932595788307,0.113677103186877,0.111039769730225,0.130922328153646,0.547363310806388,0.508781018346234,0.76788341415017,0.999682997013432,0.999430628437704,0.999992360438236,"Chile"
0.203194336349994,0.242245793469737,0.389814699984372,0.212065729458062,0.285169397553293,0.49603456903301,0.487958188334709,0.496396113777634,0.823765772954223,0.183880375695373,0.215136760417572,0.322817655227947,0.191088473497191,0.248113124266226,0.391059409778319,0.386121460209736,0.391279529254585,0.561223792132304,0.012372023724933,0.0202563078502958,0.0375339818447906,0.0946894625701293,0.121038116258507,0.160666007716573,0.536351258399068,0.434929507700854,0.837106601205273,0.999162309628066,0.998090829268626,0.999999748629568,"Chile"
0.22972198446813,0.247211528372981,0.3716672985884,0.222155314110723,0.245029651898665,0.468242320575706,0.505517943543852,0.521971648843532,0.81954463020686,0.205245474105933,0.219024522414049,0.310416370189576,0.199209019463387,0.217318670089697,0.373898212071748,0.396806925453538,0.406650482970412,0.559367740551347,0.016105151474217,0.022260293484994,0.0362916851562415,0.102924175854066,0.102903825063684,0.160298307065235,0.563236115144568,0.487596960351186,0.837376395851171,0.999565685796502,0.999360350731414,0.999999857864732,"Chile"
