date,2026-08-26_05:52
model,SimCRC v0.14.0.2
risk_scenario,Base
population,TOTAL
adherence_fucol,0
screening_startage,50
screening_stopage,70
stoolorbloodtest_type,NA
stoolorbloodtest_interval,NA
structuralexam_type,COL
structuralexam_interval,10

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sdna,n_pos_srna,n_pos_blood,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sdna,n_neg_srna,n_neg_blood,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_ssp1to5_scr,n_ssp6to9_scr,n_ssp10plus_scr,n_lesion1to5_scr,n_lesion6to9_scr,n_lesion10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_ssp1to5_surv,n_ssp6to9_surv,n_ssp10plus_surv,n_lesion1to5_surv,n_lesion6to9_surv,n_lesion10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
50,951031,950158,0,0,0,0,0,0,214266,0,0,0,0,0,0,735892,0,0,0,0,108091,63370,40926,0,0,0,108091,63370,40926,1059,663,79,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,78,4,3153,949438.865258381,946722.865194792,1059.81216074465,680.454726756127,110.105898427285,73.6008616775544,97.784670358487,243.170325719802,324.763092265935,59.2309082752066,0.510847847670313,6.47187346561486,21.1625671766189,42.5321066262389,2.08191126096062,1.63264238112606,0,0,0,0
51,947796,945116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,4,52,0,3143,946178.89227844,943521.199943902,1.23017051743431,5.96764526050692,3.45607316733469,1.88851588500777,1154.04530531659,913.389604967005,413.266577701161,105.156076738634,3.08786334635646,8.53170102260644,18.1292333761165,27.4282816569892,0.463662440190092,1.69511008355767,0.143683798611164,0,0,0
52,944601,941956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,65,0,3523,942800.772728538,940184.705081823,1.84899729371332,5.13755638756668,7.30443982486904,2.21961986144789,1143.84588501072,910.318277428259,395.519171907372,85.5472373488555,9.32994027313693,6.96821130235326,19.6190119521133,23.5257675088041,2.09965055016801,2.07076149689965,0.856316201388836,0,0,0
53,941013,938423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8018,38867,0,0,0,0,0,0,0,0,0,0,0,0,0,5798,1779,427,0,0,0,5798,1779,427,8,6,0,0,3,10,4,9,63,0,3590,939195.654494696,936610.322441342,11.81740792668,11.1879996669475,4.64122845018444,2.68462142905968,1134.53813413813,900.415625204327,386.257304937444,67.638773106639,9.48684940462828,13.1206135601743,15.7043037233306,20.7577123291104,1.66989876166917,2.94599628564902,0.862003071466461,0,0,0
54,937360,934798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,9,59,0,4090,935304.953133452,932760.336475871,3.12546049804164,6.27521050275341,6.93111911478621,3.6932163459262,1130.39240029993,886.304263749604,376.870955161522,61.4188545828814,15.0962577677764,19.9791036619032,13.0963708720098,14.2947174985147,0.866883997106925,5.32025745976716,0.68020137003623,0,0,0
55,933211,930687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,9,75,0,4213,931037.280394395,928540.616562445,2.66191934019255,5.0755506272775,7.36370494483012,2.64900875088686,1110.03404402911,857.752354398857,371.299938688259,58.9206704354676,19.2102688775636,28.9519765541556,12.7331155659273,9.54399381570524,4.27354789129458,5.87514329934493,0.45779555849731,0,0,0
56,928923,926452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,412,0,0,0,0,0,0,0,0,0,0,0,0,0,74,13,2,0,0,0,74,13,2,0,0,0,0,2,8,10,11,65,0,4726,926480.034201293,924035.73375371,3.46619543010729,10.1114325906451,5.97483499409246,5.30350596372999,1088.91625291169,836.209279741737,367.191565573916,56.3185715395613,20.2289060970815,23.5467695903429,11.2575476537853,9.04424289803566,3.55080436053686,3.07185569405556,0.998524589231238,0,0,0
57,924132,921707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33013,128809,0,0,0,0,0,0,0,0,0,0,0,0,0,23227,7458,2214,0,0,0,23227,7458,2214,66,42,5,1,0,1,9,6,72,1,5084,921563.878453417,919053.452687002,66.8126388138329,45.69758561782,16.0272802371583,5.1147049153587,1064.94038882557,809.722845215843,361.70827123132,54.5590561770929,22.4532153846356,33.3198854368849,11.4712957386279,8.65078881680402,4.98884413158521,3.27798167965375,1.63517104228958,0,0,0
58,918975,916498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5739,34127,0,0,0,0,0,0,0,0,0,0,0,0,0,4805,815,114,0,0,0,4805,815,114,4,1,0,0,1,10,14,8,78,0,5503,916191.295992573,913737.572544505,4.33898713720176,6.47498702160196,11.3256442804793,3.71924064297887,1100.96817403639,824.517866099494,370.849630645522,51.1360731486388,23.6010162327694,27.2831519627424,7.29854259423936,9.39924464152235,7.18383737024851,3.61941277142614,0.366304368479177,0,0,0
59,913394,910969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,12,10,8,59,0,5919,910386.717236408,907982.191938555,3.75276974628981,10.0054877663349,9.34508044016697,4.15766494951086,1073.42259762517,798.925545360457,375.033487864108,53.6639134694673,26.6919339133233,26.5335477594151,7.46877610626599,4.02743425570942,5.19262963510118,5.56581911584362,1.64553603366949,0,0,0
