[23:30:38] Starting: 68 strategies on 5 cores
[23:31:35] Strategy NoScreening completed in 0.76 minutes
[23:36:32] Strategy COL6060q100 completed in 5.70 minutes
[23:36:41] Strategy COL6565q100 completed in 5.10 minutes
[23:36:44] Strategy COL5050q100 completed in 5.90 minutes
[23:36:52] Strategy COL4545q100 completed in 6.04 minutes
[23:36:55] Strategy COL5555q100 completed in 6.09 minutes
[23:43:04] Strategy COL5070q15 completed in 6.34 minutes
[23:43:18] Strategy COL5570q15 completed in 6.37 minutes
[23:43:19] Strategy COL4570q15 completed in 6.78 minutes
[23:43:41] Strategy COL5080q15 completed in 6.81 minutes
[23:43:43] Strategy COL4575q15 completed in 7.03 minutes
[23:47:15] Strategy COL5585q15 completed in 4.18 minutes
[23:52:42] Strategy COL4570q10 completed in 9.41 minutes
[23:52:51] Strategy COL5070q10 completed in 9.12 minutes
[23:54:09] Strategy COL4575q10 completed in 10.83 minutes
[23:56:48] Strategy COL4585q10 completed in 13.12 minutes
[00:00:46] Strategy COL5080q10 completed in 13.51 minutes
[00:01:36] Strategy COL5570q10 completed in 8.90 minutes
[00:04:12] Strategy COL5575q10 completed in 11.35 minutes
[00:06:29] Strategy COL5585q10 completed in 12.33 minutes
[00:14:01] Strategy COL4570q5 completed in 17.22 minutes
[00:18:59] Strategy COL4575q5 completed in 18.22 minutes
[00:22:53] Strategy COL5070q5 completed in 16.41 minutes
[00:25:06] Strategy COL4580q5 completed in 23.50 minutes
[00:29:45] Strategy COL4585q5 completed in 25.55 minutes
[00:30:11] Strategy COL5075q5 completed in 16.16 minutes
[00:37:10] Strategy COL5570q5 completed in 12.07 minutes
[00:37:33] Strategy COL5080q5 completed in 18.57 minutes
[00:39:40] Strategy COL5085q5 completed in 16.78 minutes
[00:41:01] Strategy COL5575q5 completed in 11.27 minutes
[00:42:42] Strategy COL5580q5 completed in 12.52 minutes
[00:49:06] Strategy COL5585q5 completed in 11.93 minutes
[00:55:45] Strategy FIT4570q3 completed in 18.20 minutes
[01:04:02] Strategy FIT4575q3 completed in 24.37 minutes
[01:04:20] Strategy FIT5070q3 completed in 15.23 minutes
[01:04:58] Strategy FIT4580q3 completed in 23.95 minutes
[01:10:07] Strategy FIT4585q3 completed in 27.42 minutes
[01:13:22] Strategy FIT5075q3 completed in 17.62 minutes
[01:17:54] Strategy FIT5570q3 completed in 12.94 minutes
[01:25:15] Strategy FIT5575q3 completed in 15.12 minutes
[01:27:27] Strategy FIT5080q3 completed in 23.41 minutes
[01:29:57] Strategy FIT5085q3 completed in 25.62 minutes
[01:30:31] Strategy FIT5580q3 completed in 17.14 minutes
[01:36:28] Strategy FIT5585q3 completed in 18.57 minutes
[01:47:24] Strategy FIT4570q2 completed in 22.16 minutes
[01:57:45] Strategy FIT5070q2 completed in 21.29 minutes
[02:00:32] Strategy FIT4575q2 completed in 33.08 minutes
[02:03:12] Strategy FIT4580q2 completed in 33.24 minutes
[02:14:37] Strategy FIT5075q2 completed in 27.21 minutes
[02:17:38] Strategy FIT4585q2 completed in 47.13 minutes
[02:20:47] Strategy FIT5570q2 completed in 17.58 minutes
[02:30:06] Strategy FIT5080q2 completed in 32.34 minutes
[02:32:51] Strategy FIT5575q2 completed in 18.24 minutes
[02:34:13] Strategy FIT5085q2 completed in 33.69 minutes
[02:35:21] Strategy FIT5580q2 completed in 17.72 minutes
[02:38:51] Strategy FIT5585q2 completed in 18.06 minutes
[03:09:32] Strategy FIT5070q1 completed in 30.68 minutes
[03:10:09] Strategy FIT4570q1 completed in 40.05 minutes
[03:29:06] Strategy FIT4575q1 completed in 56.25 minutes
[03:43:34] Strategy FIT4580q1 completed in 69.34 minutes
[03:56:11] Strategy FIT5075q1 completed in 46.66 minutes
[04:04:56] Strategy FIT4585q1 completed in 89.58 minutes
[04:09:07] Strategy FIT5570q1 completed in 25.55 minutes
[04:09:53] Strategy FIT5080q1 completed in 59.74 minutes
[04:24:25] Strategy FIT5575q1 completed in 28.23 minutes
[04:30:38] Strategy FIT5085q1 completed in 61.53 minutes
[04:36:39] Strategy FIT5580q1 completed in 31.72 minutes
[04:41:44] Strategy FIT5585q1 completed in 32.61 minutes
[04:41:46] All 68 strategies completed in 311.1 minutes (18666 seconds) on 5 cores.
