date,2026-03-17_08:07
model,SimCRC v0.13.0
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,FIT
stooltest_startage,45
stooltest_stopage,75
stooltest_interval,1
structuralexam_type,NA
structuralexam_startage,NA
structuralexam_stopage,NA
structuralexam_interval,NA

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,985550,985550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,55,59,10,0,1646,0,0,984747.98444888,984675.967767679,6.30624012735022,16.0949575473563,21.3178722932709,11.2136214986292,0,0,0,0,0,0,0.850294951593078,8.04537241629764,0,0,0,0,0,0
41,983894,983749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,43,42,41,0,1768,0,0,983000.444466254,982804.416926857,15.2709666133115,30.1922953684559,44.9934417468511,19.059471052754,6.30624012735022,16.0949575473563,20.8507310042398,6.65610825790443,0,0.624666716289049,7.69981227313138,27.5772483561653,0,0,0.765129677252844,0.609895495697856,0,0
42,982085,981845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,64,59,62,0,1828,0,0,981148.023301422,980853.505497116,13.5909216037461,33.362550836157,46.1588410221884,21.7312350287145,21.5772067406617,44.1465326021645,57.7479493506243,12.9654239325119,0,1.57189021117707,9.15692800945801,30.1483446580616,0,0,1.17922841059044,0.390104504302144,0,0
43,980195,979840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,75,64,57,0,2017,0,0,979135.241096312,978710.945436504,18.4470115683617,43.4703632842451,60.5344320172875,23.0989570869708,35.1681283444078,77.5090834383214,97.4597863476108,25.3984690737848,0,1.6037543761522,11.4433578265354,29.4636023739957,0,0,0.055641912156716,0,0,0
44,978121,977624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,67,77,63,0,2088,0,0,977055.688778051,976480.772803456,18.4184031389825,43.758700916995,65.535639303628,32.4256518216852,53.6151399127695,117.731984832867,147.396121888873,33.1453170562431,0,2.84077737266058,14.2865620206276,38.7453449112779,0.752671237802133,1.0513414638117,0,0,0,0
45,975970,975317,32629,0,0,0,0,0,942688,0,0,0,0,0,4645,27984,0,0,957,567,2234,504,315,60,8,0,0,0,0,0,0,0,7,21,23,26,78,0,2169,0,0,974824.77668026,973286.053474255,518.458043303468,350.408911350139,100.909225263187,31.413222371927,71.5778905184616,156.084716015303,195.515505032108,52.5612067709526,0,7.92070081951076,21.7309223631617,41.2068675343648,0.247328762197867,1.16408905130811,0.186465409584343,0,0,0
46,973723,972187,30696,0,0,0,0,0,909823,0,0,0,0,0,3758,26938,0,0,928,565,1884,241,124,13,3,0,0,0,0,0,0,0,4,15,19,15,66,0,2381,0,0,972487.867599269,970582.466795038,246.87739103976,139.476057861486,30.914215850642,8.13490247613603,589.406009840207,497.184613431781,274.473440452216,62.1646770344089,0.28801073517301,7.77600258759436,22.4127509225705,24.9819620031427,0.341913246549666,1.01988510927185,0.813534590415657,0.707374367397279,0,0
47,971276,969374,29430,0,0,0,0,0,878152,0,0,0,0,0,3423,26007,0,0,980,527,1689,171,44,8,4,0,0,0,0,0,0,0,6,17,13,17,65,0,2545,0,0,969978.009465631,967853.95793934,175.42511170523,60.4072139265757,21.0096853887992,12.7315834299746,828.374826917778,622.556963347807,285.481604166408,51.337203384183,4.47630853429288,12.6760141491404,19.4867032627413,24.3100682139618,3.54382327594794,0.895054723136127,0.759529934963211,0.292625632602721,0,0
48,968666,966552,28057,0,0,0,0,0,847789,0,0,0,0,0,3163,24894,72,2153,1012,544,1428,131,42,5,1,58,6,7,1,0,0,0,1,12,10,19,71,0,2712,0,0,967286.510221784,965010.966566248,136.014779819428,53.623148110878,15.1288958917991,7.48063940065442,989.242019248196,661.273043340126,280.527772660805,49.4270299846543,10.4673987872956,22.079297020945,24.8194110795819,18.5174133206181,4.87270656181499,0.93213534890674,0.979776261141524,0,0,0
49,965883,963626,27110,0,0,0,0,0,818304,0,0,0,0,0,2905,24205,67,1804,993,519,1249,117,21,5,1,58,4,5,0,0,0,0,3,9,10,7,82,0,2862,0,0,964424.787862269,962055.742907395,118.093084250287,33.4296136049834,13.9839026668644,5.69610419332053,1102.00804981156,687.966882887133,275.323396336374,46.5498225852188,20.1643245947369,25.6056930146341,19.7716321379319,16.4605479751377,2.56832626252435,0.937494303565472,1.26069380389526,0,0,0
50,962939,960598,26414,0,0,0,0,0,789413,0,0,0,0,0,2951,23463,59,1629,1085,534,1201,103,25,1,2,48,7,4,0,0,0,0,2,5,8,9,76,0,3020,0,0,961416.4670654,958974.806414062,105.112169654442,31.0902826698461,11.3942169638465,7.55747717161768,1196.3385024392,695.895120653584,277.976768341928,46.2750323453179,22.4578407001108,25.8756143014834,11.0433703710462,9.43365422222024,1.5813326833304,0.842897165566683,0,0,0,0
51,959843,957424,25009,0,0,0,0,0,761888,0,0,0,0,0,2794,22215,46,1383,1038,481,1149,100,21,5,0,38,4,4,0,0,0,0,2,9,9,12,78,0,3440,0,0,958069.449527837,955549.256960032,102.179022632923,26.7588423179878,11.2877632690744,4.35338101765382,1274.7240835659,698.464708470661,279.750529412947,46.3598654468706,24.8072135183801,26.9770499881806,9.16207147459919,9.37239862237207,1.9193750093691,2.88020280422643,0,0,0,0
52,956325,953830,24287,0,0,0,0,0,734877,0,0,0,0,0,2802,21485,137,2601,1096,497,1086,91,25,4,3,99,17,20,1,0,0,0,7,5,6,10,80,0,3659,0,0,954453.625823997,951862.75518616,97.079829624923,30.4342165081113,9.61093251714052,6.39124238318607,1344.75541945608,699.606174719825,280.523831175327,41.5186269060423,29.6237303783972,24.3658147708559,11.91185251628,10.3634690262709,2.5988494749181,1.2321045496501,0.531248189741746,0,0,0
53,952586,950022,23569,0,0,0,0,0,708466,0,0,0,0,0,2669,20900,210,4659,1069,521,952,99,25,3,0,169,20,19,2,0,0,0,4,11,5,14,66,0,3742,0,0,950690.204910932,948024.388905665,104.58802683487,32.6834490880924,7.64863068774646,6.74310368241008,1403.32950993795,699.184155033814,284.297913939918,45.6460488006233,34.0837218274475,28.9777353250894,5.36972920169082,6.02547669488057,4.51635493570939,1.878500869032,0.955780022777617,0.0190264263714539,0,0
54,948778,946126,22648,0,0,0,0,0,683023,0,0,0,0,0,2643,20005,222,4241,1072,464,986,91,27,3,0,171,24,25,2,0,0,0,4,15,18,9,92,0,4220,0,0,946583.099098945,943837.911724843,98.8330882714732,37.2522981051815,15.1026726463043,7.68800077129793,1460.71485188949,698.807781385247,283.565067845673,46.412464184102,43.2921018428838,26.8612578595274,6.62597443320309,9.31480246792748,3.91058304044418,6.85771729797125,0.512971787480637,0,0,0
55,944466,941746,22443,0,0,0,0,0,684491,0,0,0,0,0,2764,19679,204,4053,1152,526,940,114,26,4,2,161,20,21,0,2,0,0,9,5,16,11,81,0,4608,0,0,942111.03999314,939271.666516596,119.978576662132,40.4440526851032,18.4569451708768,5.58163506648965,1516.38773536356,707.48354389884,289.533280244541,50.3052278277722,40.1875857732936,24.7584542074564,9.33221246027459,8.25131746434526,2.97261902410537,4.55833381717093,0.763145699398592,0,0,0
56,939777,936959,22833,0,0,0,0,0,684896,0,0,0,0,0,2786,20047,223,3610,1082,525,1043,91,35,9,1,176,25,17,4,1,0,0,7,5,12,8,97,0,4866,0,0,937301.124665227,934382.096330457,102.262151094442,40.0788548868917,20.2200077799217,4.15066423434177,1582.56448764799,719.745643638566,298.179084749481,51.8017414069208,48.8519743251201,22.3758507545851,9.06171028453841,6.81353138483283,5.38380657625385,5.26016180077568,2.13344807410613,0,0,0
57,934814,931930,22589,0,0,0,0,0,685261,0,0,0,0,0,2916,19673,205,3605,1181,550,1025,123,35,2,0,157,32,16,0,0,0,0,5,10,9,12,88,0,5308,0,0,932134.264717822,929125.005175162,128.391822589607,42.7952193313667,11.8961033119169,2.58641872764357,1631.23219735753,734.809777751987,311.936686046095,49.3443748621689,46.7319591072301,23.941315839214,4.34646458588405,9.54272261076983,7.10241145081818,1.07340493425727,2.21885127248242,0,0,0
58,929418,926437,22770,0,0,0,0,0,684657,0,0,0,0,0,3045,19725,214,3395,1226,603,1036,138,35,7,0,173,25,14,0,1,1,0,4,7,9,15,90,0,5709,0,0,926530.041298974,923401.389549515,142.67460206187,44.0607243019658,14.2553602291985,5.96916546257204,1701.04139983442,751.755741484028,313.014437251805,46.5596449042904,48.6622924369516,23.8637614855657,10.7760430489295,12.0232592725463,9.92032767576165,1.98549411376007,1.59671324767361,0,0,0
59,923619,920524,23001,0,0,0,0,0,683401,0,0,0,0,0,3166,19835,234,3532,1322,551,1135,124,30,4,0,175,32,24,1,2,0,0,4,9,18,16,99,0,6152,0,0,920484.011792656,917263.740852933,128.182625962267,41.8070600204207,16.2327619282613,4.28572161890344,1790.78917278301,777.756325417923,317.062105756536,47.6078685473557,42.6437783070188,17.0394491778677,10.296919990933,12.2627497323634,11.8991996941622,2.1061480389908,1.81192009034567,0,0,0
60,917368,914178,23136,0,0,0,0,0,681539,0,0,0,0,0,3231,19905,253,3526,1377,618,1079,130,23,4,0,204,28,19,1,1,0,0,8,10,19,8,73,0,6682,0,0,913991.422521523,910669.599646035,135.126425247749,31.1648630026787,20.3884509296882,5.81798805205488,1855.04096225766,799.644131611502,320.12038681435,48.3049559468592,48.731195878063,17.515671885624,10.7854477917489,6.4291931381572,16.0241891476326,2.23016024357639,3.67623387882486,0,0,0
61,910613,907311,22945,0,0,0,0,0,678639,0,0,0,0,0,3238,19707,256,3361,1336,650,1106,114,26,4,2,201,23,27,3,2,0,0,4,10,11,9,102,0,7180,0,0,907002.737686114,903599.696343462,122.25854943479,36.6274923401514,17.6516776630484,6.3688387109523,1921.71324955472,803.48223473059,328.776281969259,49.1389880676655,54.9366368989098,21.8349453526705,10.4575115102397,9.13769502053722,13.9050025532488,5.97012944472954,3.12496157293208,0,0,0
62,903331,899969,22615,0,0,0,0,0,675524,0,0,0,0,0,3487,19128,418,4793,1455,663,1204,125,26,10,4,326,45,46,0,1,0,0,7,11,15,19,91,0,7609,0,0,899510.17122077,896022.033664261,127.843502546684,37.1288534680675,20.6335091808367,6.72098626855428,1978.81675968815,815.818044015565,334.307837559086,50.9788533489548,51.1247804770085,16.5585145422713,9.100749551784,8.31240201049433,15.6297350986861,8.80321981501766,2.97887006145902,0,0,0
63,895631,892167,22633,0,0,0,0,0,671807,0,0,0,0,0,3529,19104,619,6439,1416,714,1202,142,48,5,2,492,66,56,4,1,0,0,6,11,11,12,97,0,8258,0,0,891456.899971164,887841.822092035,150.614187356882,57.2973182525304,15.7968851981652,9.63711803489726,2033.21798875682,824.066767013097,346.136211845932,50.6513932549141,55.1201997115153,22.8688319461903,8.63857298349872,14.9972711317784,19.9837203717325,6.83560795942321,2.35603927075863,0,0,0
64,887276,883700,22664,0,0,0,0,0,667030,0,0,0,0,0,3645,19019,604,6287,1476,752,1232,133,46,5,1,472,65,56,8,2,1,0,4,6,10,19,109,0,9271,0,0,882549.430440068,878829.441531985,145.518828108942,56.2813666745332,14.6303713962919,8.27352686176062,2105.8677740865,856.428308679415,351.544267764838,51.9460289977519,55.1224685548949,18.0255694191082,11.0718906955479,12.3848734171738,23.7073652104009,7.94610953889787,0.598689584527165,0,0,0
65,877896,874222,22115,0,0,0,0,0,661307,0,0,0,0,0,3649,18466,647,6315,1522,716,1241,132,33,5,0,506,75,64,1,1,0,0,5,10,12,19,103,0,9812,0,0,872968.211001788,869164.357080559,136.25508786097,40.1450716304959,15.9950489443375,10.228697921506,2173.03403131176,883.546273586305,354.13390928218,52.8427145305851,57.2153990622463,18.2392591755086,11.1049561993248,14.8952682206421,22.5207039653324,12.6208220168483,1.07297316007316,0,0,0
66,867981,864233,22513,0,0,0,0,0,654746,0,0,0,0,0,3869,18644,642,6041,1586,753,1316,167,36,9,2,490,77,70,3,2,0,0,7,11,10,12,104,0,10540,0,0,862678.536151666,858758.58323214,172.013031752525,47.8284781363531,18.5443157327344,8.8640020217191,2239.12643418963,887.962755861229,359.140189872148,55.6006876192028,49.604047088641,23.4062126204195,8.15207590578382,12.3415857025796,21.8410306437872,13.5480313801672,2.77592031424865,0,0,0
67,857337,853465,22131,0,0,0,0,0,647257,0,0,0,0,0,3888,18243,687,6221,1614,786,1280,166,32,9,1,552,65,64,5,1,0,0,4,6,14,18,95,0,11465,0,0,851591.864317929,847558.791268469,175.909230046427,40.0995404632366,18.1517547476146,5.6150945961791,2326.23683567157,900.564033433518,363.522650011419,54.6201775624913,51.3925716361369,22.6767876624963,11.4459300979083,10.2638426699824,34.099275693898,12.1455819990952,3.53787746233866,1.52698163571768,0,0
68,845777,841794,21986,0,0,0,0,0,638786,0,0,0,0,0,3969,18017,657,5987,1598,820,1357,149,37,8,0,508,75,67,2,5,0,0,6,15,17,9,103,0,12396,0,0,839503.498675147,835379.841925603,150.35567771944,49.9088746167609,21.6906997267378,4.14768221712437,2403.48397402422,904.321365183278,372.073507535111,54.0986671818733,61.2724276900652,26.3359352345093,6.33888392629326,12.1652819405976,39.3901949489955,11.1542784108315,4.81653335364535,0.473018364282325,0,0
69,833278,829205,21676,0,0,0,0,0,629362,0,0,0,0,0,4085,17591,775,6258,1756,828,1287,158,46,8,2,603,88,80,3,0,1,0,7,15,15,8,116,0,13637,0,0,826373.548852755,822152.657095396,164.890534374356,59.3129562190993,22.5576587055594,3.20802205124176,2458.21397632581,920.086376628049,385.523753556889,52.4228566575342,58.1262637168709,26.6744801401196,8.68024618065694,9.56558644529913,39.9128033800516,9.7104738666676,3.49781296099536,0.892897486943951,0,0
