date,2026-03-16_15:55
model,SimCRC v0.13.0
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,FIT
stooltest_startage,45
stooltest_stopage,80
stooltest_interval,3
structuralexam_type,NA
structuralexam_startage,NA
structuralexam_stopage,NA
structuralexam_interval,NA

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,985550,985550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,55,59,10,0,1646,0,0,984747.98444888,984675.967767679,6.30624012735022,16.0949575473563,21.3178722932709,11.2136214986292,0,0,0,0,0,0,0.850294951593078,8.04537241629764,0,0,0,0,0,0
41,983894,983749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,43,42,41,0,1768,0,0,983000.444466254,982804.416926857,15.2709666133115,30.1922953684559,44.9934417468511,19.059471052754,6.30624012735022,16.0949575473563,20.8507310042398,6.65610825790443,0,0.624666716289049,7.69981227313138,27.5772483561653,0,0,0.765129677252844,0.609895495697856,0,0
42,982085,981845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,64,59,62,0,1828,0,0,981148.023301422,980853.505497116,13.5909216037461,33.362550836157,46.1588410221884,21.7312350287145,21.5772067406617,44.1465326021645,57.7479493506243,12.9654239325119,0,1.57189021117707,9.15692800945801,30.1483446580616,0,0,1.17922841059044,0.390104504302144,0,0
43,980195,979840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,75,64,57,0,2017,0,0,979135.241096312,978710.945436504,18.4470115683617,43.4703632842451,60.5344320172875,23.0989570869708,35.1681283444078,77.5090834383214,97.4597863476108,25.3984690737848,0,1.6037543761522,11.4433578265354,29.4636023739957,0,0,0.055641912156716,0,0,0
44,978121,977624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,67,77,63,0,2088,0,0,977055.688778051,976480.772803456,18.4184031389825,43.758700916995,65.535639303628,32.4256518216852,53.6151399127695,117.731984832867,147.396121888873,33.1453170562431,0,2.84077737266058,14.2865620206276,38.7453449112779,0.752671237802133,1.0513414638117,0,0,0,0
45,975970,975317,32570,0,0,0,0,0,942747,0,0,0,0,0,4635,27935,0,0,971,590,2181,480,349,53,11,0,0,0,0,0,0,0,3,21,25,27,77,0,2169,0,0,974825.928054249,973283.765782355,491.79196006322,382.888695481692,93.3348507076685,33.5642238029295,71.5778905184616,156.084716015303,195.515505032108,52.5612067709526,0.469901780222699,8.20875703217388,22.0792805871164,41.9531004790161,1.2012966806069,1.41710850736126,0.186465409584343,0,0,0
46,973724,972183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,36,35,75,0,2381,0,0,972487.050302173,970936.728410161,4.84984930110503,18.7944734951603,29.2104785621676,14.072509112522,560.099114150903,527.786930268908,267.563971826304,63.4882135045948,2.92882318422946,8.47296737966779,19.0899370434959,30.6445538009665,0.341913246549666,1.7668656532187,0.813534590415657,0.707374367397279,0,0
47,971268,969707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,40,39,75,0,2545,0,0,969964.539331468,968387.279818604,9.000709000391,18.439889235427,32.628918048794,17.9832232448715,559.434262002432,531.396447042551,281.507429817925,57.1394434650238,3.0589575860953,15.2529946531924,16.1360824877439,28.8212186663164,2.45574386348017,0.895054723136127,0.759529934963211,0.292625632602721,0,0
48,968648,967046,31068,0,0,0,0,0,904548,0,0,0,0,0,4580,26488,85,2086,1167,615,2169,393,180,47,9,69,8,7,1,0,0,0,5,15,14,24,81,0,2711,0,0,967269.030441792,965046.155607443,401.296741966796,199.984142388563,71.2004921885288,24.0030245986891,562.62297868618,530.445318952173,291.05031573445,60.0209989254793,3.60964942667326,21.8457317666513,24.2757467614357,28.2634891718461,3.6125723188743,1.82057750085369,0.979776261141524,0,0,0
49,965856,963655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,26,38,85,0,2862,0,0,964401.492226326,962193.163063554,6.14276160974853,21.2433707256803,19.3821013565145,11.1155201609416,946.106162193521,706.909475442819,341.238399620236,64.4728939044476,14.9407312288854,21.8444574826038,20.6165754784174,27.0451001817015,2.35672883177176,0.937494303565472,1.26069380389526,0,0,0
50,962909,960705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,29,39,98,0,3020,0,0,961378.660160359,959165.609348758,13.0331390089404,24.0656316525131,26.207482855583,14.9091396626193,932.302462320451,703.969433457453,337.961994379366,63.7311451726628,17.4598027129257,25.4005483395636,26.2467573214269,26.3328566150802,2.96856258064508,0,0,0,0,0
51,959791,957573,30231,0,0,0,0,0,866023,0,0,0,0,0,4828,25403,70,2098,1213,702,2313,386,182,25,7,47,13,10,0,0,0,0,3,11,28,15,106,0,3440,0,0,958001.399322271,955216.728625556,391.834211124166,197.698411683757,47.4790787121387,18.4297118245317,926.157208999221,697.1658831479,344.541120646461,63.9951644679636,17.2035823532731,32.8316016444776,19.1336475461011,26.4811107336744,2.34191947500221,1.82950725615956,0,0,0,0
52,956245,953480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1425,0,0,0,0,0,0,0,70,17,20,0,2,0,0,12,24,35,22,108,0,3659,0,0,954362.302743696,951605.473729244,8.38039357677688,17.756346110145,29.1811059910483,7.79004353439413,1292.96636762981,863.306282302178,376.136382130979,62.4411021703458,22.4056940443361,28.5381128265937,17.4520085105009,22.8392037602354,2.61935844924301,2.97120031202212,1.33860622812063,0,0,0
53,952478,949730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2049,0,0,0,0,0,0,0,77,8,4,0,0,0,0,19,37,37,28,94,0,3743,0,0,950576.072970755,947815.185852163,16.1685028721843,28.8429859818474,31.8066927003507,8.77092332688296,1273.54461416816,843.622760639082,389.598452453163,60.2745310457438,22.3932207649631,37.1572424048506,19.0046904264837,18.1316988137867,5.40892627346329,2.55137199419551,1.14842198439874,0,0,0
54,948641,945878,29346,0,0,0,0,0,826614,0,0,0,0,0,5109,24237,114,2200,1293,754,2402,426,190,38,6,92,12,7,1,2,0,0,10,15,26,18,100,0,4216,0,0,946441.518833427,943042.997102921,438.791197036746,213.306146272186,62.2630375429356,13.8524813694239,1266.92701324251,826.129564259439,404.245927435563,61.9609326609929,20.9676833231791,44.8979246476524,17.2486636363217,20.3454696781742,2.36838271096349,6.03376732789911,1.14505649032071,0,0,0
55,944325,940937,896,0,0,0,0,0,26106,0,0,0,0,0,124,772,119,1653,25,12,67,12,5,3,0,75,17,22,3,2,0,0,11,24,32,28,116,0,4607,0,0,941954.060862656,938562.188790857,24.7668531826217,26.0498826433862,30.9106131297796,9.64128161628069,1664.51308588313,996.984111947264,450.052545403555,66.2760482472152,38.4224269406871,37.7758681936683,14.8971952195144,17.2314879520198,3.71343684848398,6.4893341967836,1.66397384507582,0.952205437002704,0,0
56,939602,936224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2044,0,0,0,0,0,0,0,74,5,4,0,0,0,0,15,30,44,54,134,0,4864,0,0,937111.280336345,933737.61636137,11.2707005775142,22.8253423786618,36.1725694646026,18.830646872787,1640.80033298388,980.433090412114,459.095864119502,67.9940155614358,40.5755155821367,36.1398081145366,21.2579772018218,20.1251814357209,7.90409049973823,5.2917553645093,2.95878847432301,0.0477945629972965,0,0
57,934604,931231,28208,0,0,0,0,0,786171,0,0,0,0,0,5521,22687,108,2274,1426,811,2553,481,215,29,6,88,7,10,3,0,0,0,7,14,28,16,123,0,5306,0,0,931903.450092574,927842.479722753,495.462125384501,236.139598478561,57.2496690150283,15.8664453668675,1612.92345377508,968.601858241014,479.71857263944,74.3069031786051,33.1897826208152,31.2418227551073,19.4491733016605,25.1485413149444,6.23338154540397,6.02757407189347,3.35201147641092,0,0,0
58,929175,925142,1786,0,0,0,0,0,50101,0,0,0,0,0,272,1514,173,1782,63,36,130,27,14,2,0,117,20,30,2,4,0,0,12,19,37,33,117,0,5710,0,0,926274.45955496,922214.535974367,38.0507660124154,31.4938415835332,26.3839349961307,11.8872653914472,2051.63844023249,1170.42116134082,513.739629258125,78.1289828396074,47.1038913471689,28.9496232240544,23.0528411201651,18.5066150279492,9.8622535278555,5.61522476837065,2.36126505071297,0,0,0
59,923348,919302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2216,0,0,0,0,0,0,0,103,11,5,0,0,0,0,17,43,44,40,134,0,6146,0,0,920199.760041398,916159.608176071,13.996446828784,31.7596717294012,39.5722383846702,13.1015837350303,2036.0440661715,1161.29313648933,511.752500222353,79.6150304350613,44.2663249388855,36.716706306178,29.714031428367,21.8553039353475,9.37881513452157,5.7291419700841,3.51810856792144,0,0,0
60,917068,913032,27066,0,0,0,0,0,744332,0,0,0,0,0,5881,21185,161,2475,1588,887,2693,490,185,32,6,129,20,12,0,0,0,0,8,20,19,29,147,0,6675,0,0,913650.847979052,908958.980839159,496.268863353846,206.96664213494,59.8766558667426,15.9049559481594,1987.27435648523,1155.68471594361,525.97458809904,83.3899929055681,47.8001849656734,36.3677491081303,22.4794961321043,23.927974263654,20.1974957443308,4.65180454147048,5.22110993042588,0,0,0
61,910246,905595,2632,0,0,0,0,0,71941,0,0,0,0,0,431,2201,186,1967,125,60,185,40,15,4,2,128,23,30,3,1,1,0,11,16,35,32,136,0,7175,0,0,906618.263759194,901944.027149556,52.2406562095235,34.5127062987815,28.5127727535695,17.6282786920093,2404.06463777781,1322.09146953022,564.23440429107,86.6120805800902,59.9778525204301,34.1291537707417,17.6906139775039,24.6924011195979,19.5007295408286,6.930504458625,4.93033929541707,0,0,0
62,902935,898290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,3512,0,0,0,0,0,0,0,231,34,25,0,0,0,0,15,31,52,55,164,0,7604,0,0,899079.857195457,894460.012699611,12.5101901417581,23.1967081838032,40.9965078802854,14.886441128885,2376.01504095398,1305.73243869658,570.635857575051,91.8658202225153,65.0690294680707,41.1341056240336,20.8409949996903,22.340762255646,15.2212235652842,10.5453837648965,4.26772972921499,0.402126476168633,0,0
63,895167,890564,26010,0,0,0,0,0,700569,0,0,0,0,0,6234,19776,382,4397,1651,936,2849,540,223,30,5,298,53,31,0,0,0,0,15,21,22,32,179,0,8254,0,0,890955.03345865,885617.270679508,544.967302609259,243.437540457325,59.0634283427395,17.9083080465072,2307.49169198943,1271.09881505041,593.461039196115,92.8015950345223,62.5801948466465,47.7680321166549,20.1452943148595,34.5134497419376,27.066380652599,13.66654638201,3.06727302120999,2.09227990198973,0,0
64,886734,881466,3288,0,0,0,0,0,91488,0,0,0,0,0,613,2675,261,2118,147,91,295,45,30,4,1,189,25,42,1,3,1,0,15,24,50,35,162,0,9269,0,0,881984.528433047,876676.2873852,60.0069160433078,52.4990829577456,40.0520900050872,11.9012159820007,2760.06130865453,1464.3850230113,628.778971088034,93.9191269628313,63.0945589985326,34.6219329043928,22.4370826560357,23.9018740515982,30.2899883305654,17.2955106515437,2.48021595738828,1.31094277624838,0,0
65,877303,872034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,3879,0,0,0,0,0,0,0,266,33,32,0,1,0,0,25,59,58,59,162,0,9808,0,0,872350.155576282,867091.915279809,18.1047618829877,41.3271257488078,45.9191311365158,15.8818300139987,2718.17334270191,1455.3297395231,648.828281707056,92.7292361276007,75.3206945237241,45.8421791692046,17.4172294400378,26.840496152115,27.5272339752424,17.0955305004027,6.40890182065777,1.58698409912176,0,0
66,867333,862083,24619,0,0,0,0,0,654040,0,0,0,0,0,6642,17977,416,4596,1760,1050,2966,586,221,44,15,313,48,51,0,2,1,1,13,26,37,38,204,1,10535,0,0,861974.324696653,855939.297998138,592.895652426849,256.144945332395,77.7779556006412,29.8220763715811,2645.13207274788,1441.33148931179,670.746645685603,92.6537043574052,64.3209616495434,40.5447815202929,24.285144907503,41.146875370916,34.2471211520024,20.4189986006822,6.12887839879841,1.96347841480747,0,0
67,856593,850616,3997,0,0,0,0,0,107774,0,0,0,0,0,882,3115,295,2384,208,151,388,71,52,11,1,209,23,58,3,1,0,1,15,21,35,56,178,0,11459,0,0,850812.221989037,844758.542269882,88.1790833602126,77.934982090337,40.7044701521479,14.2335928169456,3120.84985306434,1632.58614257076,717.670963940891,99.1702456186501,70.8408636874504,44.3582576371675,29.357209194161,31.8963589960236,46.6187424041668,21.6274446090737,9.42836036300287,2.71773595744588,0,0
68,844956,838971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,3996,0,0,0,0,0,0,0,329,42,31,5,2,0,0,17,48,50,65,204,0,12391,0,0,838635.797905461,832706.518603516,18.7561100197159,30.3361876027749,36.1872881563651,23.3687417272913,3094.1455778971,1639.70564138317,723.66809700858,92.9789288041204,71.473852749457,43.699630977156,27.1897756512315,41.5941269518556,44.1907408025802,28.7485570122954,10.963778493329,1.28953420277685,0,0
69,832361,826472,23679,0,0,0,0,0,603993,0,0,0,0,0,6957,16722,517,4967,1818,1070,3162,605,242,54,6,414,55,46,0,1,1,0,16,23,42,34,192,0,13628,0,0,825425.712905369,818719.438803232,607.323761826409,273.086277806202,95.5027376254739,29.0952439312638,2996.23395451773,1601.28564383221,735.36251581123,98.3540943185244,77.0543015625603,49.2120044929843,24.6549187130224,43.1918766651503,48.1507728910074,27.3651879578104,5.81838592723943,0.216729966923594,0,0
