"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","alpha_lesion_ssp","beta_age_ssp","hr_SSPGrowth_1_to_6_P","hr_SSPGrowth_6_to_10_P","hr_SSPGrowth_1_to_6_D","hr_SSPGrowth_6_to_10_D","hr_SSPGrowth_1_to_6_R","hr_SSPGrowth_6_to_10_R","hr_SSPCancerOnset_P","lp__","chain"
1,0.784918532725462,-6.2073220707319,0.0302272818001229,0.435314972207159,0.0452369076904081,0.0333245127256116,0.0537164706483661,0.0190501958744841,0.0434441965578664,0.0392033378067063,0.234975321410695,0.094731418213694,0.170348135606235,0.063350707476218,0.321333612641059,0.370682349188891,0.244198141065568,0.278875602982873,0.38589196610085,0.0268027445045888,0.0193935649785578,0.061557481456636,0.00175320866376832,0.00496777341874386,0.00100576078182875,0.0320232383611898,0.0244997866916884,0.0783337443213662,1.76657748304261,13.3624868401333,3.73514089754347,5.41828878856828,1.20374732314164,1.89869536615124,2.51249412223269,4.4769861390998,4.71196953201495,-5.82693598411192,-0.0101319658029312,2.48266815528912,1.85153153098016,1.86518506928472,0.991236894342306,1.40314181161164,2.30002910707695,0.821264103733625,203.504816124203,1
2,0.768792536470219,-6.18501170324125,0.027807751681144,0.419345988413412,0.0540935817824022,0.0273148529715206,0.0519968119189756,0.0153686141214283,0.0623054003491436,0.0633013399729448,0.231987119364479,0.0977209422164753,0.164749935857667,0.0628275818365829,0.309415425615162,0.399164274941793,0.297533001934039,0.603931812334383,0.35148592043752,0.0390263669181909,0.0213481972006674,0.0583061755517973,0.000866159507349838,0.00472174329534485,0.00102115911462764,0.0280956399368885,0.0263385476649247,0.0731566912610992,2.14355284700553,12.5669863706138,4.22014063962533,6.48121075381385,2.44084031210765,1.43809499733241,1.01822003039285,3.78674005207758,4.87606438352303,-5.83512618415515,-0.00954159943658131,2.38708516718977,2.41422121865057,2.18137488889424,2.03764265705544,1.290506596338,1.71279440921796,1.25823797662029,194.82302608059,1
3,0.779744735436664,-6.07364297733262,0.0253649485067094,0.308778039964891,0.0442509127621409,0.024127555018077,0.053242561755645,0.0164792613543995,0.0468489088469106,0.0654901880787579,0.226600803144632,0.133979393718711,0.173184796193152,0.0729363134147811,0.325726215243464,0.382532931779008,0.359813104127459,0.593044475560206,0.398722981626351,0.0446586592287267,0.0265106010619073,0.0634323827570563,0.000508516711490668,0.00451648633065438,0.00106282967384918,0.0239576005965334,0.0329121153846052,0.0659598277476487,2.52833644846711,8.85612342821634,4.42984823033392,6.22082036259785,2.58691600195802,1.71463501728051,1.11597492839293,3.6167338593706,3.28156629764686,-5.68378551021465,-0.0150689155715814,2.18834746320751,2.16879332160434,2.49027678084682,2.14946869846495,0.758735702717186,2.41518194597223,2.35954121273747,200.441398106133,1
4,0.774933851495438,-6.44570516355652,0.0335305161815947,0.485363789367589,0.0484652623522595,0.0494670709019879,0.0539322501387303,0.0192097565432102,0.0360596976310057,0.0375429706171634,0.253596283823543,0.0997885052957903,0.192422396125171,0.0600934119723293,0.330335148013431,0.432159885401876,0.225848536607535,0.510305659193062,0.365778902576123,0.0309664933692524,0.0184002799035191,0.0625879951030707,0.00150763090390362,0.00480066381805765,0.00113037545537178,0.0293836959573939,0.0290104666078408,0.0882588784165765,2.13916979987036,12.5180665040403,3.95190608039565,5.13183927431102,2.15887751120342,1.24933194334269,2.09291476199808,3.10251904234154,3.69412118896242,-5.94218884406395,-0.0063893858666244,2.10696408335381,1.95748567785286,2.20674729762267,1.7782785649961,1.44671325508012,2.38728585170506,0.92092604966166,209.815996580868,1
5,0.785750457398722,-6.42225488635986,0.0332535225879339,0.459679106574952,0.0480504391843857,0.0614776859808428,0.0611106787347683,0.0154251752470285,0.0334472353991576,0.0379202729165273,0.0975663857096918,0.210406694881984,0.245310749342381,0.109722029792225,0.32171479184142,0.41651937537215,0.243613008234881,0.649891287791965,0.66042830659364,0.029680205713064,0.0159235243677696,0.0562537774076055,0.00211216386488348,0.00451008703490062,0.00117281287882493,0.0130801732264949,0.0510941836659755,0.104234184539631,9.2572154746428,6.34445159303447,3.02176842079756,3.80193857813578,2.21178335883938,2.54510133558936,2.20913667941741,2.73442738555496,4.72053201082545,-6.03256484170194,-0.00307608330516825,2.35839636870202,2.23667821494507,1.7414200483921,2.39249396224181,2.27957465681318,2.30073686322278,0.99969507593986,200.081453511618,1
6,0.774578095294061,-6.39861634526044,0.0320416318337791,0.424786960228916,0.05654681701461,0.0452118237565848,0.0517158575923562,0.0178147871263421,0.0460092369418776,0.062079981318413,0.0535410641939847,0.249299542973806,0.328560331793902,0.145221404102226,0.24971252775111,0.438482129874744,0.317688066996552,0.627122267215608,0.790749373765807,0.0394352532716072,0.0200313669890287,0.055805681371404,0.000808387721596506,0.00432595844526695,0.00123480890694364,0.0083552288705801,0.0592005197931956,0.12514816995063,19.4735916101917,3.90309089471311,2.99844974212239,3.09683916791208,2.89754879027489,3.00935559870981,4.73811277162051,2.12661626919689,1.9684710415262,-5.91354250919007,-0.00748734089919864,2.36493564911705,2.49259728298651,1.57587259338787,1.98140413209402,2.47182288920621,2.36909433621312,1.70554458468923,200.046874322019,1
7,0.798325305795108,-6.43694867314924,0.0316615928309633,0.464372716038639,0.0625496199537711,0.0311796872168194,0.0614036581176082,0.0132998960152239,0.0374941765157517,0.0570416481351044,0.0509435624462362,0.120885437093682,0.327819466551786,0.125783414112392,0.157926902747111,0.361810848886565,0.26554984765098,0.534292812994566,0.653372926722864,0.04421222388846,0.02607360058275,0.0570873897299583,0.00107488735888751,0.00482295084971044,0.00103347531243213,0.00787536740991258,0.0302240509604973,0.135635402838891,20.6135408660611,5.37822412423429,1.81417736027104,2.94195456484883,3.76706544624001,3.00062127996367,2.47894100136088,1.37607633246773,1.01009000398493,-5.75804549717658,-0.0116665154309936,1.61759436999833,2.45846846368993,1.86025488203122,2.48268063312597,1.67066960995131,2.42784052573636,1.22339847128869,190.3674468459,1
8,0.790263317798728,-6.32567269353878,0.0312029716133492,0.39840169489919,0.0455777922145548,0.0502269194763933,0.0450999942563692,0.0195174625311735,0.0405129162503335,0.0459754852311062,0.211382642582629,0.103035338571909,0.223339711909364,0.0602852273343581,0.348947478640774,0.405671526015712,0.270727499761281,0.643059775817882,0.333875840183706,0.0305498425791113,0.0201921463041881,0.0624571065093951,0.00150064256814255,0.00449952314582849,0.00107006696890041,0.0235967005677601,0.0254283111677846,0.0897017329538744,2.46505397009321,14.5314874273826,3.59093302561593,6.55778101633318,2.2983930728684,1.32032005685244,1.99625427696495,3.03530699401997,4.66205723132496,-5.90767107583398,-0.00798693245350387,2.22717619038865,2.170922314962,2.27267691880452,2.04475189035078,1.51897435155119,2.35381013614321,1.02306607079642,205.296607254439,1
9,0.773554838968605,-6.34124790393759,0.0305566984898583,0.397460994238559,0.0591355984561229,0.0555057648250285,0.0622004739233447,0.0158266877499247,0.0332420651250552,0.0497590397788367,0.0712641799052102,0.242908610448994,0.322818477334552,0.09376132368018,0.290532121423242,0.310304597422301,0.288547226389178,0.395019753885045,0.349319492413333,0.0386112283357739,0.0185546613248846,0.0583977277678858,0.00121744603445553,0.00482734521008661,0.001105871189355,0.0081459864347958,0.0597238405811866,0.128747248803917,12.7059814645541,4.29841477488975,1.91500539548231,4.09759662286602,1.61264300893247,1.99083578567477,3.16589509732786,1.06967791726016,1.78661254253308,-5.82652806784341,-0.00971368695731408,1.98427882869227,2.35855694074879,1.66947869337227,2.13446489660279,1.94359722594777,2.31328510890653,1.28164310071845,205.759214230507,1
10,0.776286985437429,-6.2292562258427,0.0289721186486709,0.339429948526047,0.04383580822601,0.0484764731037144,0.0572374554969631,0.0186967557279405,0.0361862829014276,0.0399870005241484,0.135878673203686,0.161920164689978,0.342905225120324,0.0667739171367338,0.335204261207804,0.438483148347159,0.244758691071163,0.563276104438138,0.323797901406517,0.0389296565479954,0.0196542378312147,0.0600024499804824,0.00106487325599175,0.00493658547357052,0.00101188168156807,0.0160772173599614,0.0409625267082017,0.128631882878067,3.88960197490896,7.6545439011844,2.38401850483137,5.56444731114323,2.06199266695052,1.267405161906,4.56538861722315,4.39520167384305,4.97866253665804,-5.51954902928348,-0.0182869630550474,2.29131538722888,2.0562408039071,1.64956710198644,1.82225191253839,1.86075926471478,2.34099469514687,1.00153489865883,196.568755858539,1
