"id_draw","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_R","AdNaturalHistoryPropensity_Gaussian_Variance","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_R","IndividuakRiskMultVariance","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_R","alpha_lesion_adenoma","beta_age","chain","hr_SxDetS2S1_D","hr_SxDetS2S1_P","hr_SxDetS2S1_R","hr_SxDetS3S2_D","hr_SxDetS3S2_P","hr_SxDetS3S2_R","hr_SxDetS4S3_D","hr_SxDetS4S3_P","hr_SxDetS4S3_R","lp__","pSxDetS1_D","pSxDetS1_P","pSxDetS1_R","lp__.1"
1,0.0391856596990723,0.0550070156710105,0.0679457127764285,0.051434544530022,0.0277697351643478,0.0657063520079748,0.489121213091288,0.00123381482699916,0.00112350731498137,0.00176897472459041,0.0215166327142153,0.0219315883715541,0.0308544808827044,0.797766525027308,0.183040062253549,0.159773549621467,0.14996317431353,0.221760692540476,0.111007843692696,0.142945589332349,0.553979869110794,0.442430802364114,0.5955607839344,-6.35830373236341,0.0357882603903826,1,6.4250638599874,6.94570717040383,4.93268044769354,6.63907168756022,11.1804319078307,25.9633359620827,1.09655236634611,1.03871687811203,1.00550506626606,108.404406223859,0.0196535151381778,0.00885094721483307,0.0119349953728219,-0.8005414514069
2,0.0414399931745683,0.0617528081947728,0.0619243932557061,0.0589115549013608,0.0226783176296772,0.036882995182933,0.476932052581742,0.00105824184645362,0.00112820944308805,0.00194030972502305,0.0223475231592327,0.0216053841429907,0.0303595561812626,0.79357022718959,0.179784891106512,0.152490367297478,0.156451994941861,0.216549990092486,0.0907075698340528,0.167137426265134,0.532688062026468,0.40892226336631,0.704301880687427,-6.2297509848476,0.0348353721146631,1,6.13800740055106,6.47100971445323,4.74671770566713,6.62510282311719,11.7140492262571,25.7628555955272,1.08909395284708,1.09614046125238,1.09956782424843,124.49171577551,0.0186483812413142,0.00847386507841316,0.0134948039858802,0.828355477695238
3,0.0414640810688772,0.0632109558736633,0.0712981693884654,0.0528443130261455,0.0250160538826714,0.0543476230752582,0.467179109351108,0.00101818237777041,0.00113768010146489,0.00167871049221298,0.0230512787242225,0.0222880385517751,0.0316905215717022,0.79497765829551,0.244917993936353,0.142121342388459,0.15288768451512,0.245104502208486,0.0975620467613093,0.172069197496401,0.61280587059134,0.412670251125127,0.740467200986485,-6.2771829613612,0.034776782044813,1,6.63320638136487,6.70865989200687,4.98365713675549,6.41070667981875,11.3832081027737,26.4827046653388,1.08614595069058,1.04020950330388,1.05734693147839,111.60579325737,0.0208356283002101,0.00864611834307573,0.0133848174818877,-0.476389703657502
4,0.0405022863483127,0.0569414805150806,0.0600443675049682,0.0498674846273922,0.0276812865702975,0.0629824134401411,0.426723766955705,0.0012354585534345,0.00111449778459006,0.00191670869430532,0.0229435503206065,0.0216253209546646,0.0312141623950868,0.799085043502209,0.196614706862948,0.18473697363693,0.156715289165681,0.216891097053114,0.114229351474479,0.151742311759185,0.508036975896037,0.43886312980334,0.644333881033747,-6.32313148443142,0.0348441632774342,1,6.43035493079759,6.77072517229752,4.76743473204268,6.31766558453956,11.3234534421409,25.2337976838238,1.09570948593733,1.05486224765477,1.08990620563808,115.946741997513,0.0180637674579792,0.00897581696296506,0.0122115600305435,-0.0368533070022861
5,0.0403209531205096,0.0597938193190897,0.0544444214332285,0.0591192610046437,0.0273392989623088,0.0646816165678955,0.487727501196797,0.00102987134041817,0.00113418699036436,0.00203734643271005,0.0228181869152113,0.0225362273401776,0.0310500725700877,0.798511190504479,0.181620901798541,0.116827125758609,0.14990262995317,0.235500598915335,0.0989611487299174,0.137961120231124,0.624525780413569,0.395765603020915,0.637722747901575,-6.29498716101262,0.034671874794556,1,6.84484285516764,6.18888812699713,4.44405443731424,6.88622495812814,11.1650852141899,26.6386795054177,1.08224978891803,1.0353715635771,1.01726859364294,120.790951346616,0.0202670284354241,0.00876576836958747,0.012424101006584,0.453640004346411
6,0.0414231464803761,0.0661316303903722,0.062903516685589,0.0527923299815245,0.0183321353663038,0.0576742218263708,0.477162029759769,0.00106192070675231,0.00179145372936569,0.00177411109199529,0.0228270883856017,0.0198301747231565,0.0304671085232263,0.792614424418904,0.209785592644189,0.126460992541273,0.15676654680782,0.239023051710125,0.11266454661717,0.162080986874473,0.630561066513803,0.434216737425268,0.735403411162328,-6.32034593078705,0.0354909760971425,1,6.93466681852012,6.51260954416136,4.91853283146144,6.6052978870916,11.8115707714387,25.2325488051676,1.06196833180792,1.01786200134246,1.08541146936904,116.319948755044,0.0205721821113203,0.0089794170302522,0.01377860958083,0.000935195749491635
7,0.0411487136439764,0.0587956333329931,0.0570489502275629,0.0541583570274983,0.0263601943419643,0.0612006343361512,0.486244344814163,0.00107478222452914,0.00106182879393347,0.00188907285286923,0.0223473376609564,0.0221932037073074,0.0300790888615509,0.789800459276543,0.181956163977506,0.155352293104515,0.157853173372864,0.243591700452585,0.104370648289948,0.142747715355305,0.644725255331766,0.427280855706932,0.633723275289858,-6.28305163397919,0.0348716939264693,1,6.82399158253121,6.04606196043951,4.87058397367246,6.63353185538693,11.8587372828532,26.5999387722784,1.09501038343839,1.02951349919547,1.00836842648616,120.41451770292,0.0209446210908519,0.0087615314114937,0.0124867398936138,0.415524767969713
8,0.0217204225933688,0.0622964557686662,0.0625176606470551,0.150095710353402,0.0263062654826676,0.0620007102308332,0.458694201488621,0.00108429216706168,0.00176376577927972,0.00229284298939187,0.0245104208269003,0.0191686450491169,0.0308252049896987,0.778405599072441,0.19702352631818,0.110998413446297,0.172609070579116,0.287456312514517,0.100333827518639,0.136575933039406,0.632013816679585,0.413481636218876,0.600111985217316,-6.40761223127786,0.0356355907361584,1,6.74876846580761,6.4964233506199,3.98194230182226,6.74769616524781,11.2204695878772,26.812620206879,1.0899381768744,1.01734604816607,1.07163908177038,122.272962769531,0.0208505306127778,0.00866183821634337,0.0135737933438838,0.603698896911994
9,0.0371231030922988,0.0468916139171174,0.0605607975537217,0.0474780388856672,0.0276289417335339,0.0527287072305239,0.492090464397358,0.00101146189995476,0.00127393280379935,0.0015696495127895,0.0245281088061356,0.0216190870010276,0.0334828853306791,0.791960824329946,0.191927228706539,0.144588127724756,0.157137821340518,0.221459829306331,0.0949431116628854,0.175737097382075,0.541010857031825,0.381001573046951,0.747416977805253,-6.24358339536462,0.0340604393319691,1,6.18463920366475,6.86822990333274,4.75420651960647,6.67721650559825,11.2511293665087,26.3490519128697,1.09576331827782,1.02003552915394,1.05344328162528,110.57976277662,0.0201382886220256,0.00821828036470505,0.0136727488475898,-0.580278914833153
10,0.0411725755839886,0.062089801956621,0.0562404738593665,0.0501661357438363,0.023363323384998,0.0494426172062954,0.486082476729213,0.00105210470484823,0.0010568144481812,0.0021938746500423,0.0233085046493101,0.0227987488131017,0.0302946765314211,0.798401417471822,0.210594234115702,0.153915931591781,0.155655717165294,0.242575451857601,0.102152031285836,0.136115206099393,0.610796991494731,0.405102141483302,0.589005156453169,-6.23934998294809,0.0341429146590202,1,6.16940604132031,6.76974038516642,4.58406468123305,6.93623660918584,11.0791740268587,26.6006148744802,1.085964317486,1.09543238873585,1.04435083751089,125.002087259499,0.0203145811034155,0.00889729558328124,0.0118817976282438,0.880032393608545
11,0.0352866510048628,0.0661988669924952,0.0709794103470424,0.0491413974289155,0.026982594648461,0.0653077737482298,0.492410613134353,0.0010427674527329,0.00127775368099296,0.00159448791109618,0.0231724865135813,0.0200556664477684,0.0303863430588896,0.775652558422456,0.19524208856813,0.121277662980839,0.159840956362801,0.258659797123382,0.10244430201888,0.14732117897243,0.629262341247259,0.38861233820402,0.61933012022481,-6.28493667265897,0.0350787296439055,1,6.8765837424915,6.56248916105713,4.91100794320847,6.80680197611705,11.0960372314234,26.2615768390123,1.09734731227342,1.01352353661085,1.07698352071643,115.263662337013,0.0208702384764615,0.00899099291594615,0.011621200194332,-0.106017535971033
