date,2026-09-22_10:48
model,SimCRC v0.15.0
risk_scenario,ControlAugParams
population,TOTAL
adherence_fucol,0
screening_startage,NA
screening_stopage,NA
stoolorbloodtest_type,NA
stoolorbloodtest_interval,NA
structuralexam_type,NA
structuralexam_interval,NA

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sdna,n_pos_srna,n_pos_blood,n_pos_shield,n_pos_simplescreen,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sdna,n_neg_srna,n_neg_blood,n_neg_shield,n_neg_simplescreen,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_ssp1to5_scr,n_ssp6to9_scr,n_ssp10plus_scr,n_lesion1to5_scr,n_lesion6to9_scr,n_lesion10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_ssp1to5_surv,n_ssp6to9_surv,n_ssp10plus_surv,n_lesion1to5_surv,n_lesion6to9_surv,n_lesion10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
50,951272,950384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,57,64,67,85,0,2974,949747.200227482,948804.194383233,10.3780367254401,44.615632317668,68.2489212683452,27.6375983266269,80.9858488628622,248.396440771378,334.031956507538,61.2018301883697,0.0392503943772127,5.74628017744629,25.2099400329708,33.8139976370954,0.205777871189639,0.103893437888473,1.09374131192453,0,0,0
51,948213,947212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,53,82,83,78,0,3208,946573.616207015,945497.991091265,14.1032529990902,55.7126043355216,62.3811208246705,31.6442378128,90.5696634594919,290.080548210864,381.955478463453,70.3356606524309,0,3.44140814407834,22.1350278540723,41.3643233158849,0.794222128810361,0.929669522755908,0.906258688075468,0.62639410387488,0,0
52,944927,943777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,75,92,81,109,0,3410,943175.875270753,941953.572146969,11.9972571667962,62.364349996818,79.7135185821191,34.2860769859495,104.672916458582,340.792565008597,424.976323831703,71.4929469968882,0.581806133966893,6.94794993717296,24.8178495889511,61.7920515743219,0.0864263952244073,0,0.60630216752179,0,0,0
53,941408,940109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,79,108,93,118,0,3696,939514.14724803,938139.25404327,13.6030709257685,70.8104755931288,90.7491617253714,40.5521198233069,115.820684500689,391.553246494249,479.333380774859,77.1195941257523,0,12.9865077127041,29.427276731218,48.1103089428692,0.913573604775593,0.982616061344743,2.90821905446156,0,0,0
54,937594,936117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,79,105,96,147,0,4036,935527.236065016,933974.162182404,19.9105653791273,78.3693223127432,90.164024169986,39.3154937772637,129.400908500465,451.907125165551,545.462799691579,90.2533492360314,0.357013847202502,9.53386016558626,32.9697861026395,61.0848949040939,0,1.50441981211052,0.753388103796169,0,0,0
55,933411,931787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,75,93,81,119,0,4359,931184.521944068,929491.071392198,19.072274823656,69.5088308083178,92.6749837778517,32.0286821174942,145.521766181615,518.143430396234,614.317706079982,97.0859404568647,3.78607026958205,11.4026011674548,26.4287207193131,59.0656608870132,0.669772159541026,2.18978976085782,0.933078655973077,0,0,0
56,928933,927158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,91,119,130,144,0,4749,926471.432665623,924592.352264133,20.0469148135105,81.4072396009007,88.950833587595,48.9837393168455,161.966400941643,574.003027854177,676.618948258973,102.067895588795,2.30900425464586,14.5806829943428,33.7151222156734,61.6006326215302,0.330227840458974,1.36797536117849,3.00635740337598,0,0,0
57,924040,922058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,80,162,147,164,0,4990,921493.43785485,919381.008479875,22.9871082643852,79.8779737008661,123.146375865455,65.2968289805206,180.651959844367,638.398766605502,731.988272283924,123.441829314841,2.99143028467755,13.7474356343813,43.0561778755344,77.0591892278921,0,3.74695323174819,3.16845731949434,0,0,0
58,918886,916646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,91,163,145,211,0,5506,916020.602502812,913679.166743937,36.9252417663984,90.4630842954954,137.256667769008,53.1411492571565,203.050185709763,699.94934931971,815.7497003659,144.206539703267,0.588882398989618,17.7592110956545,46.5380507174209,90.9219364619291,0.183566270163283,1.51433107303455,3.98560263370847,0.384634035406634,0,0
59,913169,910717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,126,161,181,202,0,5861,910116.602549888,907520.482408483,31.007425948989,93.6179682536743,149.257420511879,72.5949345976593,239.715751455796,773.637907917779,905.459834445966,149.622466610063,0.0943492174369993,17.0842426540241,54.1595438213254,101.965875684166,0.816433729836717,0.851079867687076,4.98363774432801,1.02149333269335,0,0
